Price,Date,Depart_Time,Return_Time,Depart_Dirport,Return_Airport,Airline_Name,Flight_Type,flight_duration
$66,Tue 13 Jun,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$66,Tue 16 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$66,Fri 16 Jun,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$66,Thu 18 May,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$67,Fri 16 Jun,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$68,Wed 10 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$69,Sun 4 Jun,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$69,Tue 23 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$69,Fri 26 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$69,Wed 7 Jun,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$69,Wed 31 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$69,Wed 7 Jun,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$69,Fri 26 May,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$69,Sat 27 May,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
